oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Lenovo,Tab M7,2019,2019,null,236,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,7.0 inches  137.9 cm (~76.0% screen-to-body ratio),600 x 1024 pixels  16:9 ratio (~170 ppi density),Accelerometer,Android 9.0 (Pie) - 2GB RAM  Android 9.0 Pie (Go edition) - 1GB RAM
Lenovo,Z6,2019,2019,null,159,Hybrid Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~85.7% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  proximity  compass,Android 9.0 (Pie)  ZUI 11
Lenovo,Z6 Pro 5G,2019,2019,null,185,Hybrid Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~85.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  ZUI 11
Lenovo,Z6 Youth,2019,2019,null,164,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.3 inches  97.4 cm (~83.7% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~409 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  ZUI 11
Lenovo,Z6 Pro,2019,2019,null,185,Hybrid Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~85.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  ZUI 11.1
Lenovo,Yoga Tab 3 10,2016,2016,null,655,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches  295.8 cm (~63.2% screen-to-body ratio),800 x 1280 pixels  16:10 ratio (~149 ppi density),Accelerometer,Android 6.0 (Marshmallow)
LG,Q61,2020,2020,null,null,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,6.53 inches  104.7 cm (~82.1% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~395 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)
LG,Stylo 6,2020,2020,null,219,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,6.8 inches  109.8 cm (~82.5% screen-to-body ratio),1080 x 2460 pixels (~395 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10
LG,Velvet,2020,2020,null,180,Dual SIM (Nano-SIM  dual stand-by),P-OLED capacitive touchscreen  16M colors,6.8 inches  109.8 cm (~88.6% screen-to-body ratio),1080 x 2460 pixels (~395 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 10  LG UX 9
LG,Folder 2,2020,2020,null,127,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,2.8 inches  24.3 cm (~40.9% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~143 ppi density),V1,null
LG,V60 ThinQ 5G UW,2020,2020,null,218,Pre-installed Nano-SIM,P-OLED capacitive touchscreen  16M colors,6.8 inches  109.8 cm (~83.6% screen-to-body ratio),1080 x 2460 pixels (~395 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 10
LG,V60 ThinQ 5G,2020,2020,null,213,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),P-OLED capacitive touchscreen  16M colors,6.8 inches  109.8 cm (~83.6% screen-to-body ratio),1080 x 2460 pixels (~395 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 10
LG,Q51,2020,2020,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  105.5 cm (~82.7% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~259 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10
LG,W10 Alpha,2020,2020,null,170,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.71 inches  81.7 cm (~78.1% screen-to-body ratio),720 x 1512 pixels  19:9 ratio (~293 ppi density),Accelerometer  proximity,Android 9.0 (Pie)
LG,K61,2020,2020,null,191,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.53 inches  105.2 cm (~82.5% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~394 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)
LG,K51S,2020,2020,null,5,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.55 inches  93.6 cm (~73.8% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~282 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)
LG,K41S,2020,2020,null,7,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.55 inches  103.6 cm (~81.7% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)
LG,G Pad 5 10.1,2019,2019,null,498,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches  295.8 cm (~79.4% screen-to-body ratio),1200 x 1920 pixels  16:10 ratio (~224 ppi density),Fingerprint (side-mounted)  accelerometer,Android 9.0 (Pie)
LG,V50S ThinQ 5G,2019,2019,null,192,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.4 inches  100.5 cm (~83.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 9.0 (Pie)  LG UX 9.0
LG,G8X ThinQ,2019,2019,null,192,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.4 inches  100.5 cm (~83.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 9.0 (Pie)  upgradable to Android 10  LG UX 10.0
LG,Q70,2019,2019,null,198,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.4 inches  101.4 cm (~81.4% screen-to-body ratio),1080 x 2310 pixels (~398 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  upgradable to Android 10  LG UX 9
LG,K30 (2019),2019,2019,null,148,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.45 inches  76.7 cm (~73.0% screen-to-body ratio),720 x 1440 pixels  18:9 ratio (~295 ppi density),Accelerometer  proximity,Android 9.0 (Pie)
LG,K20 (2019),2019,2019,null,152,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.45 inches  76.7 cm (~71.7% screen-to-body ratio),480 x 960 pixels  18:9 ratio (~197 ppi density),Accelerometer  proximity,Android 9.0 Pie (Go edition)
LG,K40S,2019,2019,null,186,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.1 inches  92.9 cm (~80.4% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~276 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)
LG,K50S,2019,2019,null,194,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  105.5 cm (~82.1% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~259 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)
LG,W30 Pro,2019,2019,null,172,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.22 inches  96.6 cm (~80.7% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~270 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 9.0 (Pie)
LG,W30,2019,2019,null,175,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.26 inches  97.8 cm (~80.4% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 9.0 (Pie)
LG,W10,2019,2019,null,164,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.19 inches  96.0 cm (~80.7% screen-to-body ratio),720 x 1512 pixels  19:9 ratio (~271 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 9.0 (Pie)
LG,Stylo 5,2019,2019,null,179,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,6.2 inches  99.2 cm (~79.8% screen-to-body ratio),1080 x 2160 pixels  18:9 ratio (~390 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)
LG,G8S ThinQ,2019,2019,null,181,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),G-OLED capacitive touchscreen  16M colors,6.21 inches  97.6 cm (~82.0% screen-to-body ratio),1080 x 2248 pixels (~401 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass  barometer,Android 9.0 (Pie)  LG UX 8.0
LG,Q8 (2018),2018,2018,null,172,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.2 inches  99.7 cm (~80.2% screen-to-body ratio),1080 x 2160 pixels  18:9 ratio (~389 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 8.1 (Oreo)
LG,X power 3,2018,2018,null,171,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches  83.4 cm (~69.0% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~267 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 8.1 (Oreo)
LG,K8 (2018),2018,2018,null,152,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),S-IPS LCD capacitive touchscreen  16M colors,5.0 inches  68.9 cm (~64.4% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~294 ppi density),Accelerometer  proximity,Android 7.1.2 (Nougat)
LG,Watch Urbane LTE,2015,2015,null,45,Nano-SIM,P-OLED capacitive touchscreen  16M colors,1.3 inches  5.5 cm,320 x 320 pixels  1:1 ratio (~348 ppi density),Accelerometer  gyro  proximity  heart rate  barometer,LG Wearable Platform
LG,L20,2014,Discontinued,null,null,Mini-SIM,Capacitive touchscreen,3.0 inches  27.9 cm (~40.9% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~133 ppi density),V1,Android 4.4.2 (KitKat)
LG,KM338,2008,Discontinued,null,null,Mini-SIM,TFT  256K colors,2.0 inches  12.4 cm (~24.9% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~200 ppi density),V1,null
LG,U890,2006,Discontinued,null,99,Mini-SIM,TFT  256K colors,2.2 inches  35 x 44 mm  15.2 cm (~31.5% screen-to-body ratio),176 x 220 pixels (~128 ppi density),V1,null
LG,P7200,2005,Discontinued,null,112,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,B2050,2005,Discontinued,null,72,Mini-SIM,CSN  65K colors,1.5 inches  7.3 cm (~15.7% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~121 ppi density),V1,null
LG,M4410,2005,Discontinued,null,107,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,M4330,2005,Cancelled,null,110,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,M4300,2005,Discontinued,null,110,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,F3000,2005,Discontinued,null,91,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
LG,F2410,2005,Discontinued,null,91,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
LG,F2250,2005,Discontinued,null,90,Mini-SIM,CSTN  65K colors,null,128 x 160 pixels,V1,null
LG,U8290,2006,Discontinued,null,125,Mini-SIM,TFT  65K colors,null,176 x 220 pixels,V1,null
LG,U8210,2005,Discontinued,null,115,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,U8200,2005,Discontinued,null,125,Mini-SIM,TFT  65K colors,null,176 x 220 pixels,V1,null
LG,B2150,2005,Discontinued,null,73,Mini-SIM,CSTN  65K colors,1.6 inches  8.3 cm (~17.9% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~113 ppi density),V1,null
LG,B2100,2005,Discontinued,null,73,Mini-SIM,CSTN  65K colors,1.5 inches  7.3 cm (~16.4% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~121 ppi density),V1,null
LG,B2000,2005,Discontinued,null,73,Mini-SIM,CSTN  65K colors,1.5 inches  7.3 cm (~16.2% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~121 ppi density),V1,null
LG,F2400,2005,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 160 pixels  7 lines,V1,null
LG,F1200,2005,Discontinued,null,101,Mini-SIM,TFT  256K colors,null,128 x 160 pixels  12 lines,V1,null
LG,F7250,2004,Discontinued,null,115,Mini-SIM,TFT  65K colors,1.9 inches  11.4 cm (~23.7% screen-to-body ratio),128 x 160 pixels  12 lines (~108 ppi density),V1,null
LG,C2100,2005,Discontinued,null,90,Mini-SIM,CSTN  65K colors,null,128 x 160 pixels,V1,null
LG,G1800,2004,Discontinued,null,78,Mini-SIM,STN  256K colors,1.6 inches  8.3 cm (~18.5% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~113 ppi density),V1,null
LG,G1610,2005,Discontinued,null,83,Mini-SIM,STN  65K colors,1.5 inches  7.3 cm (~15.9% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~121 ppi density),V1,null
LG,G1700,2004,Discontinued,null,80,Mini-SIM,STN  4096 colors,1.6 inches  8.3 cm (~18.6% screen-to-body ratio),128 x 128 pixels  1:1 ratio (~113 ppi density),V1,null
LG,F2300,2005,Discontinued,null,91,Mini-SIM,TFT  65K colors,null,128 x 160 pixels  7 lines,V1,null
LG,F2100,2004,Discontinued,null,90,Mini-SIM,TFT  256K colors,null,128 x 160 pixels  7 lines,V1,null
LG,L3100,2004,Discontinued,null,87,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
LG,C1200,2004,Discontinued,null,81,Mini-SIM,STN  65K colors,null,128 x 160 pixels,V1,null
LG,G1600,2004,Discontinued,null,83,Mini-SIM,STN  65K colors,null,128 x 128 pixels  8 lines  1:1 ratio,V1,null
LG,G7200,2004,Discontinued,null,116,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
LG,U8150,2003,Discontinued,null,136,Mini-SIM,TFT  256K colors,null,176 x 220 pixels  7 lines,V1,null
LG,G7070,2003,Discontinued,null,95,Mini-SIM,UFB  65K colors,null,128 x 160 pixels  7 lines,V1,null
LG,G7050,2003,Discontinued,null,89,Mini-SIM,STN  65K colors,null,128 x 160 pixels  6 lines,V1,null
LG,G1500,2004,Discontinued,null,80,Mini-SIM,Grayscale graphic,null,128 x 64 pixels  2 lines  18:9 ratio,V1,null
LG,G5310,2003,Discontinued,null,85,Mini-SIM,UFB  65K colors,null,128 x 160 pixels  7 lines,V1,null
LG,W7020,2002,Discontinued,null,89,Mini-SIM,STN  65K colors,null,128 x 160 pixels  10 lines,V1,null
LG,W5200,2002,Discontinued,null,80,Mini-SIM,Grayscale graphic  4 shades,null,128 x 128 pixels  1:1 ratio,V1,null
LG,LG-600,2002,Discontinued,null,90,Mini-SIM,Monochrome graphic,null,128 x 90 pixels,V1,null
LG,LG-500,2002,Discontinued,null,90,Mini-SIM,Monochrome graphic,null,128 x 90 pixels,V1,null
LG,LG-200,null,Discontinued,null,80,Mini-SIM,Monochrome graphic,null,128 x 64 pixels  18:9 ratio,V1,null
Maxon,MX-C90,2003,Discontinued,null,82,Mini-SIM,TFT  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Maxon,MX-C80,2003,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Maxon,MX-C180,2003,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Maxon,MX-A30,2004,Discontinued,null,90,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Maxon,MX-C60,2003,Discontinued,null,85,Mini-SIM,CSTN  65K colors,null,128 x 128 pixels  8 lines  1:1 ratio,V1,null
Maxon,MX-C20,2003,Discontinued,null,90,Mini-SIM,CSTN  65K colors,null,128 x 160 pixels  7 lines,V1,null
Maxon,MX-C110,2004,Discontinued,null,85,Mini-SIM,65K colors,null,-,V1,null
Maxon,MX-E10,2003,Discontinued,null,90,Mini-SIM,TFT  65K colors,null,176 x 220 pixels  10 lines,V1,null
Maxon,MX-V10,2004,Discontinued,null,67,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Maxon,MX-V30,2004,Discontinued,null,80,Mini-SIM,TFT  65K colors,null,-,V1,null
Maxon,MX-7990,2003,Discontinued,null,67,Mini-SIM,65K colors,null,128 x 128 pixels  8 lines  1:1 ratio,V1,null
Maxon,MX-E80,2004,Cancelled,null,null,Mini-SIM,65K colors,null,-,V1,null
Maxon,MX-7750,2004,Discontinued,null,81,Mini-SIM,65K colors,null,-,V1,null
Maxon,MX-C11,2004,Discontinued,null,81,Mini-SIM,65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Maxon,MX-C160,2004,Discontinued,null,59,Mini-SIM,4096 colors,null,-,V1,null
Maxon,MX-7940,2003,Discontinued,null,85,Mini-SIM,UFB  65K colors,null,128 x 128 pixels  8 lines  1:1 ratio,V1,null
Maxon,MX-7920,2003,Discontinued,null,59,Mini-SIM,Grayscale graphic  4 shades,null,128 x 128 pixels  7 lines  1:1 ratio,V1,null
Maxon,MX-7830,2003,Discontinued,null,95,Mini-SIM,65K colors,null,128 x 160 pixels  11 lines,V1,null
Maxon,MX-7600,2003,Discontinued,null,80,Mini-SIM,TFT  65K colors,null,128 x 160 pixels  6 lines,V1,null
Maxon,MX-6879,2000,Discontinued,null,135,Mini-SIM,Monochrome graphic,null,4 x 12 chars,V1,null
Maxon,MX-6869,2000,Discontinued,null,135,Mini-SIM,Monochrome graphic,null,4 x 12 chars,V1,null
Maxon,MX-6815,1999,Discontinued,null,96,Mini-SIM,Monochrome graphic,null,4 x 12 chars,V1,null
Maxon,MX-6814,1999,Discontinued,null,96,Mini-SIM,Monochrome graphic,null,4 x 12 chars,V1,null
Meizu,17 Pro,2020,2020,null,219,Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.6 inches  106.9 cm (~86.6% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~390 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  Flyme 8.1
Meizu,17,2020,2020,null,199,Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.6 inches  106.9 cm (~86.6% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~390 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  Flyme 8.1
Meizu,16T,2019,2019,null,183,Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.5 inches  106.3 cm (~85.2% screen-to-body ratio),1080 x 2232 pixels  18.5:9 ratio (~382 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Flyme 8
Meizu,M10,2019,2019,null,184,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  102.0 cm (~81.1% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~270 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  Flyme 8
Meizu,16s Pro,2019,2019,null,166,Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.2 inches  95.8 cm (~85.9% screen-to-body ratio),1080 x 2232 pixels  18.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Flyme 8
Meizu,16Xs,2019,2019,null,165,Dual SIM (Nano-SIM  dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.2 inches  95.8 cm (~84.7% screen-to-body ratio),1080 x 2232 pixels  18.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Flyme
Meizu,16s,2019,2019,null,165,Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.2 inches  97.2 cm (~87.2% screen-to-body ratio),1080 x 2232 pixels  18.5:9 ratio (~400 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Flyme 7.3
Micromax,A36 Bolt,2014,Discontinued,null,null,Dual SIM (Mini-SIM),TFT capacitive touchscreen  65K colors,4.0 inches  45.5 cm,480 x 800 pixels  5:3 ratio (~233 ppi density),V1,Android 2.3 (Gingerbread)
Micromax,A28 Bolt,2014,Discontinued,null,89,Dual SIM (Mini-SIM),TFT capacitive touchscreen  65K colors,3.5 inches  36.5 cm (~49.9% screen-to-body ratio),320 x 480 pixels  3:2 ratio (~165 ppi density),V1,Android 2.3 (Gingerbread)
Micromax,Bolt A62,2013,Discontinued,null,85,Dual SIM,TFT touchscreen,3.95 inches  46.5 cm (~56.8% screen-to-body ratio),320 x 480 pixels  3:2 ratio (~146 ppi density),V1,Android 2.3.5 (Gingerbread)
Micromax,Bolt A35,2013,Discontinued,null,89,Dual SIM,TFT touchscreen,4.0 inches  45.5 cm (~57.4% screen-to-body ratio),480 x 800 pixels  5:3 ratio (~233 ppi density),V1,Android 2.3 (Gingerbread)
Micromax,Bolt A27,2013,Discontinued,null,89,Dual SIM,TFT touchscreen,3.5 inches  36.5 cm (~50.6% screen-to-body ratio),320 x 480 pixels  3:2 ratio (~165 ppi density),V1,Android 2.3 (Gingerbread)
Micromax,GC275,2010,Discontinued,null,100,Mini-SIM,TFT  65K colors,null,null,V1,null
Mitac,MIO Leap G50,2008,Discontinued,null,119,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches  24.3 cm (~42.3% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~143 ppi density),Accelerometer,Windows Mobile 6.1 Professional
Mitac,MIO Leap K1,2008,Discontinued,null,125,Mini-SIM,TFT resistive touchscreen  65K colors,2.6 inches  20.9 cm (~37.2% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~154 ppi density),V1,Windows Mobile 6.1 Professional
Mitac,MIO A701,2005,Discontinued,null,150,Mini-SIM,TFT resistive touchscreen  65K colors,2.7 inches  41 x 54 mm  22.6 cm (~32.7% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~148 ppi density),V1,Microsoft Windows Mobile 5.0 PocketPC
Mitac,MIO 8870,2004,Discontinued,null,120,Mini-SIM,TFT  65K colors,2.2 inches  35 x 44 mm  15.2 cm (~28.3% screen-to-body ratio),176 x 220 pixels (~128 ppi density),V1,Microsoft Windows Mobile 2003 SE Smartphone
Mitac,MIO 8860,2004,Cancelled,null,null,Mini-SIM,TFT  256K colors (65K effective),2.2 inches  35 x 44 mm  15.2 cm,176 x 220 pixels (~128 ppi density),V1,Microsoft Smartphone 2003
Mitsubishi,M750,2003,Discontinued,null,102,Mini-SIM,TFT  256K colors,null,128 x 160 pixels,V1,null
Mitsubishi,M342i,2004,Discontinued,null,null,Mini-SIM,TFT  256K colors,null,128 x 160 pixels,V1,null
Mitsubishi,M341i/M720,2003,Discontinued,null,102,Mini-SIM,TFT  256K colors,null,128 x 160 pixels  10 lines,V1,null
Mitsubishi,Trium Eclipse,2001,Discontinued,null,110,Mini-SIM,CSTN  256 colors,null,120 x 143 pixels,V1,null
Mitsubishi,Trium Sirius,2001,Discontinued,null,75,Mini-SIM,Monochrome graphic,null,5 x 13 to 25 chars,V1,null
Mitsubishi,Trium Mondo,2000,Discontinued,null,200,Mini-SIM,Monochrome resistive touchscreen  16 shades,null,240 x 320 pixels  4:3 ratio,V1,Microsoft Windows PocketPC
Motorola,One Fusion+,2020,2020,null,210,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  103.7 cm (~83.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~396 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 10
Motorola,Moto G Fast,2020,2020,null,4,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.4 inches  100.5 cm (~82.0% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 10
Motorola,Moto E (2020),2020,2020,null,185,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,6.2 inches  95.9 cm (~78.4% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~271 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10
Motorola,Moto G Pro,2020,2020,null,192,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.4 inches  100.7 cm (~83.7% screen-to-body ratio),1080 x 2300 pixels (~399 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 10  Android One
Motorola,Edge+,2020,2020,null,203,Nano-SIM,OLED capacitive touchscreen  1B colors,6.7 inches  110.2 cm (~95.8% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~385 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass  barometer,Android 10
Motorola,Moto G8 Power Lite,2020,2020,null,200,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  102.8 cm (~82.2% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 9.0 (Pie)
Motorola,Moto E6s (2020),2020,2020,null,160,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.1 inches  91.3 cm (~80.4% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~282 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)
Motorola,Moto G8,2020,2020,null,3,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.4 inches  100.5 cm (~82.2% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity,Android 10
